global_index,file,local_index,key
302,E288/E228-400-11Q12.csv,0,E288/E228-400-11Q12/0
303,E288/E228-400-11Q12.csv,1,E288/E228-400-11Q12/1
304,E288/E228-400-11Q12.csv,2,E288/E228-400-11Q12/2
305,E288/E228-400-11Q12.csv,3,E288/E228-400-11Q12/3
306,E288/E228-400-11Q12.csv,4,E288/E228-400-11Q12/4
307,E288/E228-400-11Q12.csv,5,E288/E228-400-11Q12/5
308,E288/E228-400-11Q12.csv,6,E288/E228-400-11Q12/6
309,E288/E228-400-11Q12.csv,7,E288/E228-400-11Q12/7
310,E288/E228-400-11Q12.csv,8,E288/E228-400-11Q12/8
311,E288/E228-400-11Q12.csv,9,E288/E228-400-11Q12/9
312,E288/E228-400-12Q13.csv,0,E288/E228-400-12Q13/0
313,E288/E228-400-12Q13.csv,1,E288/E228-400-12Q13/1
314,E288/E228-400-12Q13.csv,2,E288/E228-400-12Q13/2
315,E288/E228-400-12Q13.csv,3,E288/E228-400-12Q13/3
316,E288/E228-400-12Q13.csv,4,E288/E228-400-12Q13/4
317,E288/E228-400-12Q13.csv,5,E288/E228-400-12Q13/5
318,E288/E228-400-12Q13.csv,6,E288/E228-400-12Q13/6
319,E288/E228-400-12Q13.csv,7,E288/E228-400-12Q13/7
320,E288/E228-400-12Q13.csv,8,E288/E228-400-12Q13/8
321,E288/E228-400-12Q13.csv,9,E288/E228-400-12Q13/9
322,E288/E228-400-12Q13.csv,10,E288/E228-400-12Q13/10
323,E288/E228-400-12Q13.csv,11,E288/E228-400-12Q13/11
324,E288/E228-400-13Q14.csv,0,E288/E228-400-13Q14/0
325,E288/E228-400-13Q14.csv,1,E288/E228-400-13Q14/1
326,E288/E228-400-13Q14.csv,2,E288/E228-400-13Q14/2
327,E288/E228-400-13Q14.csv,3,E288/E228-400-13Q14/3
328,E288/E228-400-13Q14.csv,4,E288/E228-400-13Q14/4
329,E288/E228-400-13Q14.csv,5,E288/E228-400-13Q14/5
330,E288/E228-400-13Q14.csv,6,E288/E228-400-13Q14/6
331,E288/E228-400-13Q14.csv,7,E288/E228-400-13Q14/7
332,E288/E228-400-13Q14.csv,8,E288/E228-400-13Q14/8
333,E288/E228-400-13Q14.csv,9,E288/E228-400-13Q14/9
334,E288/E228-400-13Q14.csv,10,E288/E228-400-13Q14/10
