mode,sign,file,bin_index,qT,ratio
4,-,CMS_13\CMS13-170Q350.csv,2,5.0,1.0841721441687606
4,-,CMS_13\CMS13-170Q350.csv,3,7.0,1.079337297159276
4,-,CMS_13\CMS13-170Q350.csv,4,9.0,1.036076656708262
4,-,CMS_13\CMS13-170Q350.csv,5,11.0,1.0120677012252304
4,-,CMS_13\CMS13-170Q350.csv,6,13.0,1.048947617434433
4,-,CMS_13\CMS13-170Q350.csv,7,16.0,1.0569990497000896
4,-,CMS_13\CMS13-170Q350.csv,8,20.0,1.0062070783748422
4,-,CMS_13\CMS13-170Q350.csv,9,25.0,1.0472367235351216
4,-,CMS_13\CMS13-350Q1000.csv,0,1.0,1.1171248522313202
4,-,CMS_13\CMS13-350Q1000.csv,1,3.0,1.1328047355719373
4,-,CMS_13\CMS13-350Q1000.csv,2,5.0,1.1049937829908214
4,-,CMS_13\CMS13-350Q1000.csv,3,7.0,1.128621096181315
4,-,CMS_13\CMS13-350Q1000.csv,4,9.0,1.1960738444706904
4,-,CMS_13\CMS13-350Q1000.csv,5,11.0,1.1247401257010043
4,-,CMS_13\CMS13-350Q1000.csv,6,13.0,1.1773230543247226
4,-,CMS_13\CMS13-350Q1000.csv,7,16.0,1.064757862057238
4,-,CMS_13\CMS13-350Q1000.csv,8,20.0,1.0098237133118226
4,-,CMS_13\CMS13-350Q1000.csv,9,25.0,0.9299209226144127
4,-,CMS_13\CMS13-350Q1000.csv,10,40.0,1.103625378026715
4,-,ATLAS_8\ATLAS8-00y04.csv,0,1.0,0.9918655030083942
4,-,ATLAS_8\ATLAS8-00y04.csv,1,3.0,0.9944463814022858
4,-,ATLAS_8\ATLAS8-00y04.csv,2,5.0,1.0033487598918043
4,-,ATLAS_8\ATLAS8-00y04.csv,3,7.0,0.9899695147230153
4,-,ATLAS_8\ATLAS8-00y04.csv,4,9.0,0.9926037240502701
4,-,ATLAS_8\ATLAS8-00y04.csv,5,11.5,0.9976771146127478
4,-,ATLAS_8\ATLAS8-04y08.csv,0,1.0,0.9852156353204211
4,-,ATLAS_8\ATLAS8-04y08.csv,1,3.0,0.9905366286180061
4,-,ATLAS_8\ATLAS8-04y08.csv,2,5.0,0.9953852168385133
4,-,ATLAS_8\ATLAS8-04y08.csv,3,7.0,0.9885462818093781
4,-,ATLAS_8\ATLAS8-04y08.csv,4,9.0,0.999809953868818
4,-,ATLAS_8\ATLAS8-04y08.csv,5,11.5,0.9966360827567735
4,-,LHCb_8\LHCb8.csv,0,1.1,0.9537666368516978
4,-,LHCb_8\LHCb8.csv,1,2.8,0.9607302194702352
4,-,LHCb_8\LHCb8.csv,2,4.0,0.9703642068954218
4,-,LHCb_8\LHCb8.csv,3,5.2,0.9679663245695135
4,-,LHCb_8\LHCb8.csv,4,6.5,0.9735239776109808
4,-,LHCb_8\LHCb8.csv,5,7.95,0.9813007411847604
4,-,LHCb_8\LHCb8.csv,6,9.6,0.9963789247794467
4,+,CMS_13\CMS13-170Q350.csv,0,1.0,1.078342022590859
4,+,CMS_13\CMS13-170Q350.csv,1,3.0,1.094050695893096
4,+,CMS_13\CMS13-170Q350.csv,2,5.0,1.0842629223070757
4,+,CMS_13\CMS13-170Q350.csv,3,7.0,1.0793773301296476
4,+,CMS_13\CMS13-170Q350.csv,4,9.0,1.0360872875245912
4,+,CMS_13\CMS13-170Q350.csv,5,11.0,1.012057675377989
4,+,CMS_13\CMS13-170Q350.csv,6,13.0,1.0489235428171904
4,+,CMS_13\CMS13-170Q350.csv,7,16.0,1.0569699543671016
4,+,CMS_13\CMS13-170Q350.csv,8,20.0,1.006175834004597
4,+,CMS_13\CMS13-170Q350.csv,9,25.0,1.047205274908806
4,+,CMS_13\CMS13-350Q1000.csv,0,1.0,1.1169838820811078
4,+,CMS_13\CMS13-350Q1000.csv,1,3.0,1.132784295926052
4,+,CMS_13\CMS13-350Q1000.csv,2,5.0,1.1050542057072146
4,+,CMS_13\CMS13-350Q1000.csv,3,7.0,1.128682417275254
4,+,CMS_13\CMS13-350Q1000.csv,4,9.0,1.1961163910475927
4,+,CMS_13\CMS13-350Q1000.csv,5,11.0,1.1247632929292286
4,+,CMS_13\CMS13-350Q1000.csv,6,13.0,1.1773325792146903
4,+,CMS_13\CMS13-350Q1000.csv,7,16.0,1.0647564951454356
4,+,CMS_13\CMS13-350Q1000.csv,8,20.0,1.00981548971293
4,+,CMS_13\CMS13-350Q1000.csv,9,25.0,0.9299103760778313
4,+,CMS_13\CMS13-350Q1000.csv,10,40.0,1.1036123087594532
4,+,ATLAS_8\ATLAS8-00y04.csv,0,1.0,0.9914662598611974
4,+,ATLAS_8\ATLAS8-00y04.csv,1,3.0,0.9944195113298647
4,+,ATLAS_8\ATLAS8-00y04.csv,2,5.0,1.0034950638158284
4,+,ATLAS_8\ATLAS8-00y04.csv,3,7.0,0.9900802582492239
4,+,ATLAS_8\ATLAS8-00y04.csv,4,9.0,0.992667031297827
4,+,ATLAS_8\ATLAS8-00y04.csv,5,11.5,0.9977034568543275
4,+,ATLAS_8\ATLAS8-04y08.csv,0,1.0,0.9894408806394664
4,+,ATLAS_8\ATLAS8-04y08.csv,1,3.0,0.9918334314107466
4,+,ATLAS_8\ATLAS8-04y08.csv,2,5.0,0.9950181576871936
4,+,ATLAS_8\ATLAS8-04y08.csv,3,7.0,0.9878224183168334
4,+,ATLAS_8\ATLAS8-04y08.csv,4,9.0,0.999122888689396
4,+,ATLAS_8\ATLAS8-04y08.csv,5,11.5,0.9960001978076825
4,+,LHCb_8\LHCb8.csv,0,1.1,0.950523010101211
4,+,LHCb_8\LHCb8.csv,1,2.8,0.9600208491229366
4,+,LHCb_8\LHCb8.csv,2,4.0,0.9710152973934246
4,+,LHCb_8\LHCb8.csv,3,5.2,0.9688025052999182
4,+,LHCb_8\LHCb8.csv,4,6.5,0.9741167316592078
4,+,LHCb_8\LHCb8.csv,5,7.95,0.9818015146864401
4,+,LHCb_8\LHCb8.csv,6,9.6,0.9970261193697509
4,0,CMS_13\CMS13-170Q350.csv,0,1.0,1.078311917047168
4,0,CMS_13\CMS13-170Q350.csv,1,3.0,1.0940009935564634
4,0,CMS_13\CMS13-170Q350.csv,2,5.0,1.0842179049409413
4,0,CMS_13\CMS13-170Q350.csv,3,7.0,1.0793576558066018
4,0,CMS_13\CMS13-170Q350.csv,4,9.0,1.0360824225747456
4,0,CMS_13\CMS13-170Q350.csv,5,11.0,1.0120632780573298
4,0,CMS_13\CMS13-170Q350.csv,6,13.0,1.048935979467804
4,0,CMS_13\CMS13-170Q350.csv,7,16.0,1.0569848419323455
4,0,CMS_13\CMS13-170Q350.csv,8,20.0,1.0061913760759498
4,0,CMS_13\CMS13-170Q350.csv,9,25.0,1.0472213158188732
4,0,CMS_13\CMS13-350Q1000.csv,0,1.0,1.1170604814063099
4,0,CMS_13\CMS13-350Q1000.csv,1,3.0,1.1327971531226573
4,0,CMS_13\CMS13-350Q1000.csv,2,5.0,1.1050240942763327
4,0,CMS_13\CMS13-350Q1000.csv,3,7.0,1.1286512152616714
4,0,CMS_13\CMS13-350Q1000.csv,4,9.0,1.1960943972734366
4,0,CMS_13\CMS13-350Q1000.csv,5,11.0,1.1247510142982697
4,0,CMS_13\CMS13-350Q1000.csv,6,13.0,1.1773271112223014
4,0,CMS_13\CMS13-350Q1000.csv,7,16.0,1.0647568596552497
4,0,CMS_13\CMS13-350Q1000.csv,8,20.0,1.0098190875374455
4,0,CMS_13\CMS13-350Q1000.csv,9,25.0,0.9299155052677535
4,0,CMS_13\CMS13-350Q1000.csv,10,40.0,1.1036182393513199
4,0,ATLAS_8\ATLAS8-00y04.csv,0,1.0,0.9917872501803132
4,0,ATLAS_8\ATLAS8-00y04.csv,1,3.0,0.9944658586505487
4,0,ATLAS_8\ATLAS8-00y04.csv,2,5.0,1.0034079916746375
4,0,ATLAS_8\ATLAS8-00y04.csv,3,7.0,0.9900033777763841
4,0,ATLAS_8\ATLAS8-00y04.csv,4,9.0,0.9926165016598688
4,0,ATLAS_8\ATLAS8-00y04.csv,5,11.5,0.9976735252541953
4,0,ATLAS_8\ATLAS8-04y08.csv,0,1.0,0.9874099898538297
4,0,ATLAS_8\ATLAS8-04y08.csv,1,3.0,0.991212600287454
4,0,ATLAS_8\ATLAS8-04y08.csv,2,5.0,0.9951937600308928
4,0,ATLAS_8\ATLAS8-04y08.csv,3,7.0,0.9881681902207211
4,0,ATLAS_8\ATLAS8-04y08.csv,4,9.0,0.9994519582972368
4,0,ATLAS_8\ATLAS8-04y08.csv,5,11.5,0.9963051261676482
4,0,LHCb_8\LHCb8.csv,0,1.1,0.9521620132646434
4,0,LHCb_8\LHCb8.csv,1,2.8,0.9603843717203012
4,0,LHCb_8\LHCb8.csv,2,4.0,0.9706893009382569
4,0,LHCb_8\LHCb8.csv,3,5.2,0.9683799654436002
4,0,LHCb_8\LHCb8.csv,4,6.5,0.9738159216454174
4,0,LHCb_8\LHCb8.csv,5,7.95,0.9815471385450208
4,0,LHCb_8\LHCb8.csv,6,9.6,0.9966982311763721
